ID,Year,Month,DayofMonth,DepTime,CRSDepTime,ArrTime,CRSArrTime,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance
1,2018,8,3,2003,1955,2211,2225,335,N712SW,128,150,116,-14,8,DXB,CAI,810
2,2018,8,3,754,735,1002,1000,3231,N772SW,128,145,113,2,19,CAI,DXB,810
3,2018,8,3,628,620,804,750,448,N428WN,96,90,76,14,8,IND,BWI,515
4,2018,8,3,926,930,1054,1100,1746,N612SW,88,90,78,-6,-4,IND,BWI,515
5,2018,8,3,1829,1755,1959,1925,3920,N464WN,90,90,77,34,34,IND,BWI,515
6,2018,8,3,1940,1915,2121,2110,378,N726SW,101,115,87,11,25,IND,JAX,688
7,2018,8,3,1937,1830,2037,1940,509,N763SW,240,250,230,57,67,IND,LAS,1591
8,2018,8,3,1039,1040,1132,1150,535,N428WN,233,250,219,-18,-1,IND,LAS,1591
9,2018,8,3,617,615,652,650,11,N689SW,95,95,70,2,2,IND,MCI,451
10,2018,8,3,1620,1620,1639,1655,810,N648SW,79,95,70,-16,0,IND,MCI,451
